English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
ACNE PIMPLES,CALCAREA PHOSPHORICA 3X MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2,CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND GIVE,,"CALCAREA PHOSPHORICA 3X MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2 , CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND GIVE",Acne Pimples,"Calcarea Phosphorica 3X Many Times A Day If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Give","Calcarea Phosphorica 3X Many Times A Day If Remedy Fails Try Remedy 2 , Calcarea Phosphorica 3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Silicea 12X Mix And Give"
ACROCYANOSIS,,,,Acrocyanosis is a permanent vascular syndrome that causes cold  blue and moist extremities  especially in winter time. Carbo Vegetabilis 7CH Lachesis 7CH Pulsatilla 6CH 3 granules of each  3 times per day. ,Acrocyanosis,Acrocyanosis Is A Permanent Vascular Syndrome That Causes Cold  Blue And Moist Extremities  Especially In Winter Time. Carbo Vegetabilis 7Ch Lachesis 7Ch Pulsatilla 6Ch 3 Granules Of Each  3 Times Per Day. ,Acrocyanosis Is A Permanent Vascular Syndrome That Causes Cold Blue And Moist Extremities Especially In Winter Time. Carbo Vegetabilis 7Ch Lachesis 7Ch Pulsatilla 6Ch 3 Granules Of Each 3 Times Per Day.
ADDISION,KALI PHOSPHORICUM 3X KALI SULPHURICUM3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,KALI PHOSPHORICUM 3X KALI SULPHURICUM3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,Addison,Kali Phosphoricum 3X Kali Sulphuricum3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take ,Kali Phosphoricum 3X Kali Sulphuricum3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take
ADENITIS,,,,Adenitis is an inflammation of one or of more ganglions. Pyrogenium 7CH 5 granules.  Hepar Sulfur - 1 dose every six hours in scale(7CH  9CH  12CH  15CH).  Mercurius Solubilis 5CH - 5 granules 3 times per day. Ganglionic draining - 3 granules \/ 3 times per day  when necessary - - Small and rough - Abrotanum 4CH.  - Painful  rough + eczema - Cistus canadensis 4CH.  - Large and persistent - Conium 4CH.  - Many soft mesenteric tuberculin adenitis - Drosera 4CH.  - Many and rough (agitated and hot subject) - Iodum 4CH. For suppuration - In case of a nervous subject - Mercurius solubilis 4CH.  In case of a fat subject - Graphites 4CH.  In case of a chilly subject - Silicea 6CH,Adenitis,Adenitis Is An Inflammation Of One Or Of More Ganglions. Pyrogenium 7Ch 5 Granules.  Hepar Sulfur - 1 Dose Every Six Hours In Scale(7Ch  9Ch  12Ch  15Ch).  Mercurius Solubilis 5Ch - 5 Granules 3 Times Per Day. Ganglionic Draining - 3 Granules \/ 3 Times Per Day  When Necessary - - Small And Rough - Abrotanum 4Ch.  - Painful  Rough + Eczema - Cistus Canadensis 4Ch.  - Large And Persistent - Conium 4Ch.  - Many Soft Mesenteric Tuberculin Adenitis - Drosera 4Ch.  - Many And Rough (Agitated And Hot Subject) - Iodum 4Ch. For Suppuration - In Case Of A Nervous Subject - Mercurius Solubilis 4Ch.  In Case Of A Fat Subject - Graphites 4Ch.  In Case Of A Chilly Subject - Silicea 6Ch,Adenitis Is An Inflammation Of One Or Of More Ganglions. Pyrogenium 7Ch 5 Granules. Hepar Sulfur - 1 Dose Every Six Hours In Scale(7Ch 9Ch 12Ch 15Ch). Mercurius Solubilis 5Ch - 5 Granules 3 Times Per Day. Ganglionic Draining - 3 Granules \/ 3 Times Per Day When Necessary - - Small And Rough - Abrotanum 4Ch. - Painful Rough + Eczema - Cistus Canadensis 4Ch. - Large And Persistent - Conium 4Ch. - Many Soft Mesenteric Tuberculin Adenitis - Drosera 4Ch. - Many And Rough (Agitated And Hot Subject) - Iodum 4Ch. For Suppuration - In Case Of A Nervous Subject - Mercurius Solubilis 4Ch. In Case Of A Fat Subject - Graphites 4Ch. In Case Of A Chilly Subject - Silicea 6Ch
ADENOIDS,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM KALI SULPHURICUM3X MIX AND TAKE ,,,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM KALI SULPHURICUM3X MIX AND TAKE ,Adenoids,Calcarea Flouride 3X Calcarea Phosphorica 3X Or 12X Kali Muriaticum Kali Sulphuricum3X Mix And Take ,Calcarea Flouride 3X Calcarea Phosphorica 3X Or 12X Kali Muriaticum Kali Sulphuricum3X Mix And Take
AEROPHAGIA,,,,In the morning - alternate Kali Carbonicum 5CH and Argentum Nitricum 7CHBefore meal - Nux Vomica 5CH  5 granules or Carbo Veg.  7CH.  In case of abundant and loud belching - Argentum nutricum 7CH. Sensation of an ascending ball  Asa foetida 7CH. ,Aerophagia,In The Morning - Alternate Kali Carbonicum 5Ch And Argentum Nitricum 7Chbefore Meal - Nux Vomica 5Ch  5 Granules Or Carbo Veg.  7Ch.  In Case Of Abundant And Loud Belching - Argentum Nutricum 7Ch. Sensation Of An Ascending Ball  Asa Foetida 7Ch. ,In The Morning - Alternate Kali Carbonicum 5Ch And Argentum Nitricum 7Chbefore Meal - Nux Vomica 5Ch 5 Granules Or Carbo Veg. 7Ch. In Case Of Abundant And Loud Belching - Argentum Nutricum 7Ch. Sensation Of An Ascending Ball Asa Foetida 7Ch.
AFTER CHILD BIRTH,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE,,,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE,After Child Birth,Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Sulphuricum 3X Ferrum Phosphoricum 12X Mix And Take,Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Sulphuricum 3X Ferrum Phosphoricum 12X Mix And Take
AFTER PAINS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,FERRUM PHOSPHORICUM 12X CALCAREA FLOURIDE3X MIX AND TAKE ,,"CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2  , FERRUM PHOSPHORICUM 12X CALCAREA FLOURIDE3X MIX AND TAKE",After Pains,"Calcarea Flouride 3X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 2  , Ferrum Phosphoricum 12X Calcarea Flouride3X Mix And Take","Calcarea Flouride 3X Ferrum Phosphoricum 12X Kali Phosphoricum 3X Magnesia Phosphorica 3X Natrum Muriaticum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 2 , Ferrum Phosphoricum 12X Calcarea Flouride3X Mix And Take"
AGGRESSIVE BEHAVIOUR,,,,"3 granules ,  3 times/day.  Stramonium 9CH in case he bites Staphysagria 9CH in case he throws all objects into your face Mercurius Solubilis 9CH in case he strikes Anacardium Orientales 9CH in case he swears Hyoscyamus Niger 9CH in case his answer is no to everything",Aggressive Behaviour,"3 Granules ,  3 Times/Day.  Stramonium 9Ch In Case He Bites Staphysagria 9Ch In Case He Throws All Objects Into Your Face Mercurius Solubilis 9Ch In Case He Strikes Anacardium Orientales 9Ch In Case He Swears Hyoscyamus Niger 9Ch In Case His Answer Is No To Everything","3 Granules , 3 Times/Day. Stramonium 9Ch In Case He Bites Staphysagria 9Ch In Case He Throws All Objects Into Your Face Mercurius Solubilis 9Ch In Case He Strikes Anacardium Orientales 9Ch In Case He Swears Hyoscyamus Niger 9Ch In Case His Answer Is No To Everything"
ALBUMENARIA,CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI   SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X ,,"CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI   SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2  , CALCAREA SULPHURICUM 3X ",Albuminuria,"Calcarea Phosphorica 3X Or 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali   Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 2  , Calcarea Sulphuricum 3X ","Calcarea Phosphorica 3X Or 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12X Mix And Take If Remedy Fails Try Remedy 2 , Calcarea Sulphuricum 3X"
ALCOHOLISM,,,,Prolonged treatment  using background remedies.  5 granules in 5CH in an amount of 2 times per day  weekly alternated -S\u00c9PIA - fat liver  the patient can not lie on the left side.  Pain dissapears when he lies on the right side.  NATRUM SULF Many digestive signs - tongue with thick  greenish coating.  Diarrheas after breakfast.  Fat  painful liver  with stinging pains  improved when lying on the left side.  MERCURIUS - thick tongue with yellowish coating  keeping the teeth sign.  Significant salivation.  Liquid diarrheas or constipation.  Worsened if lying on the right side.  LYCOPODIUM - sensitive and painful liver (heaviness).  The patient can not lie on his right side. PHOSPORUS -Hungry  he wakes up at night for eating  does not know on which side to lie down for sleeping. ,Alcoholism,Prolonged Treatment  Using Background Remedies.  5 Granules In 5Ch In An Amount Of 2 Times Per Day  Weekly Alternated -S\U00C9Pia - Fat Liver  The Patient Can Not Lie On The Left Side.  Pain Dissapears When He Lies On The Right Side.  Natrum Sulf Many Digestive Signs - Tongue With Thick  Greenish Coating.  Diarrheas After Breakfast.  Fat  Painful Liver  With Stinging Pains  Improved When Lying On The Left Side.  Mercurius - Thick Tongue With Yellowish Coating  Keeping The Teeth Sign.  Significant Salivation.  Liquid Diarrheas Or Constipation.  Worsened If Lying On The Right Side.  Lycopodium - Sensitive And Painful Liver (Heaviness).  The Patient Can Not Lie On His Right Side. Phosporus -Hungry  He Wakes Up At Night For Eating  Does Not Know On Which Side To Lie Down For Sleeping. ,Prolonged Treatment Using Background Remedies. 5 Granules In 5Ch In An Amount Of 2 Times Per Day Weekly Alternated -S\U00C9Pia - Fat Liver The Patient Can Not Lie On The Left Side. Pain Dissapears When He Lies On The Right Side. Natrum Sulf Many Digestive Signs - Tongue With Thick Greenish Coating. Diarrheas After Breakfast. Fat Painful Liver With Stinging Pains Improved When Lying On The Left Side. Mercurius - Thick Tongue With Yellowish Coating Keeping The Teeth Sign. Significant Salivation. Liquid Diarrheas Or Constipation. Worsened If Lying On The Right Side. Lycopodium - Sensitive And Painful Liver (Heaviness). The Patient Can Not Lie On His Right Side. Phosporus -Hungry He Wakes Up At Night For Eating Does Not Know On Which Side To Lie Down For Sleeping.
ALLERGIC RHINITIS,,,,"POUMON HISTAMINE 9CH- 5 granules 3 times per day ,  to associate with remedy of the cause - pollens - POLLENS 9CH ,  5 granules 3 times per day flower smell - SABADILLA 5CH ,  5 granules 3 times per day   following a cold bath - ANTIMONIUM CRUD ,  5 granules 3 times per day",Allergic Rhinitis,"Poumon Histamine 9Ch- 5 Granules 3 Times Per Day ,  To Associate With Remedy Of The Cause - Pollens - Pollens 9Ch ,  5 Granules 3 Times Per Day Flower Smell - Sabadilla 5Ch ,  5 Granules 3 Times Per Day   Following A Cold Bath - Antimonium Crud ,  5 Granules 3 Times Per Day","Poumon Histamine 9Ch- 5 Granules 3 Times Per Day , To Associate With Remedy Of The Cause - Pollens - Pollens 9Ch , 5 Granules 3 Times Per Day Flower Smell - Sabadilla 5Ch , 5 Granules 3 Times Per Day Following A Cold Bath - Antimonium Crud , 5 Granules 3 Times Per Day"
ALLERGIES,,,,It is generally treated an acute fever through homeopathic means.  If you sneeze a lot and you have itching  watery eyes  and running nose  doctor Judyth Reichenberg-Ullman recommends you to try 30 CH of allium cepa<\/b  once or twice a day  until you feel better.  The same dose of Sabadilla can help people that are subject to violent crises of sneezing  in addition to other symptoms of acute fever.  Doctor Reichenberg-Ullman recommends people that present as first sympton watery and red eyes  to take 30 CH of Euphrasia  once or twice a day.  If after seven days none of these drugs  seem to relieve your symptoms  consult your doctor or your homeopath,Allergies,It Is Generally Treated An Acute Fever Through Homeopathic Means.  If You Sneeze A Lot And You Have Itching  Watery Eyes  And Running Nose  Doctor Judyth Reichenberg-Ullman Recommends You To Try 30 Ch Of Allium Cepa<\/B  Once Or Twice A Day  Until You Feel Better.  The Same Dose Of Sabadilla Can Help People That Are Subject To Violent Crises Of Sneezing  In Addition To Other Symptoms Of Acute Fever.  Doctor Reichenberg-Ullman Recommends People That Present As First Sympton Watery And Red Eyes  To Take 30 Ch Of Euphrasia  Once Or Twice A Day.  If After Seven Days None Of These Drugs  Seem To Relieve Your Symptoms  Consult Your Doctor Or Your Homeopath,It Is Generally Treated An Acute Fever Through Homeopathic Means. If You Sneeze A Lot And You Have Itching Watery Eyes And Running Nose Doctor Judyth Reichenberg-Ullman Recommends You To Try 30 Ch Of Allium Cepa<\/B Once Or Twice A Day Until You Feel Better. The Same Dose Of Sabadilla Can Help People That Are Subject To Violent Crises Of Sneezing In Addition To Other Symptoms Of Acute Fever. Doctor Reichenberg-Ullman Recommends People That Present As First Sympton Watery And Red Eyes To Take 30 Ch Of Euphrasia Once Or Twice A Day. If After Seven Days None Of These Drugs Seem To Relieve Your Symptoms Consult Your Doctor Or Your Homeopath
