English,Remedy_1,Remedy_2,Remedy_3,Remedy
ACNE PIMPLES,CALCAREA PHOSPHORICA 3X MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2,CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND GIVE,,"CALCAREA PHOSPHORICA 3X MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2,CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND GIVE,"
ACROCYANOSIS,,,,Acrocyanosis is a permanent vascular syndrome that causes cold  blue and moist extremities  especially in winter time.Carbo Vegetabilis 7CH Lachesis 7CH Pulsatilla 6CH 3 granules of each  3 times per day.
ADDISION,KALI PHOSPHORICUM 3X KALI SULPHURICUM3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,,KALI PHOSPHORICUM 3X KALI SULPHURICUM3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 
ADENITIS,,,,Adenitis is an inflammation of one or of more ganglions.Pyrogenium 7CH 5 granules. Hepar Sulfur : 1 dose every six hours in scale(7CH  9CH  12CH  15CH). Mercurius Solubilis 5CH : 5 granules 3 times per day.Ganglionic draining : 3 granules \/ 3 times per day  when necessary : - Small and rough : Abrotanum 4CH. - Painful  rough + eczema : Cistus canadensis 4CH. - Large and persistent : Conium 4CH. - Many soft mesenteric tuberculin adenitis : Drosera 4CH. - Many and rough (agitated and hot subject) : Iodum 4CH.For suppuration : In case of a nervous subject : Mercurius solubilis 4CH. In case of a fat subject : Graphites 4CH. In case of a chilly subject : Silicea 6CH
ADENOIDS,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM KALI SULPHURICUM3X MIX AND TAKE ,,,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM KALI SULPHURICUM3X MIX AND TAKE 
AEROPHAGIA,,,,In the morning : alternate Kali Carbonicum 5CH and Argentum Nitricum 7CHBefore meal : Nux Vomica 5CH  5 granules or Carbo Veg. 7CH. In case of abundant and loud belching : Argentum nutricum 7CH.Sensation of an ascending ball  Asa foetida 7CH.
AFTER CHILD BIRTH,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE,,,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE
AFTER PAINS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,FERRUM PHOSPHORICUM 12X CALCAREA FLOURIDE3X MIX AND TAKE ,,"CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,FERRUM PHOSPHORICUM 12X CALCAREA FLOURIDE3X MIX AND TAKE ,"
AGGRESSIVE BEHAVIOUR,,,,"3 granules, 3 times/day. Stramonium 9CH in case he bites Staphysagria 9CH in case he throws all objects into your face Mercurius Solubilis 9CH in case he strikes Anacardium Orientales 9CH in case he swears Hyoscyamus Niger 9CH in case his answer is no to everything"
ALBUMENARIA,CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI   SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X ,,"CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI   SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,CALCAREA SULPHURICUM 3X ,"
ALCOHOLISM,,,,Prolonged treatment  using background remedies. 5 granules in 5CH in an amount of 2 times per day  weekly alternated :S\u00c9PIA : fat liver  the patient can not lie on the left side. Pain dissapears when he lies on the right side. NATRUM SULF Many digestive signs : tongue with thick  greenish coating. Diarrheas after breakfast. Fat  painful liver  with stinging pains  improved when lying on the left side. MERCURIUS : thick tongue with yellowish coating  keeping the teeth sign. Significant salivation. Liquid diarrheas or constipation. Worsened if lying on the right side. LYCOPODIUM : sensitive and painful liver (heaviness). The patient can not lie on his right side.PHOSPORUS :Hungry  he wakes up at night for eating  does not know on which side to lie down for sleeping.
ALLERGIC RHINITIS,,,,"POUMON HISTAMINE 9CH: 5 granules 3 times per day, to associate with remedy of the cause : pollens : POLLENS 9CH, 5 granules 3 times per day flower smell : SABADILLA 5CH, 5 granules 3 times per day   following a cold bath : ANTIMONIUM CRUD, 5 granules 3 times per day"
ALLERGIES,,,,It is generally treated an acute fever through homeopathic means. If you sneeze a lot and you have itching  watery eyes  and running nose  doctor Judyth Reichenberg-Ullman recommends you to try 30 CH of allium cepa<\/b  once or twice a day  until you feel better. The same dose of Sabadilla can help people that are subject to violent crises of sneezing  in addition to other symptoms of acute fever. Doctor Reichenberg-Ullman recommends people that present as first sympton watery and red eyes  to take 30 CH of Euphrasia  once or twice a day. If after seven days none of these drugs  seem to relieve your symptoms  consult your doctor or your homeopath
AMENORRHEA,,,,In case of primary amenorrhea (delayed puberty in girls). Natrum mur 9CH : 1 single dose Pulsatilla 7CH : 3 granules at wake-upFerrum phos 5CH : 3 granules at 10 o\u2019clock a.m. and at 4 o\u2019clock p.m.Manganum 5CH : 3 granules at bedtime. In case of secondary amenorrhea (due to many causes) :After fear : Aconit 15CH 1 dose After a cold : Aconit 7CH 1 dose After anger : Colocynthis 9CH or Nux Vomica 9CH 1 dose After trauma : Arnica 15CH 1 dose. Systematically  Senecio 9CH  1 dose the day before presumed menstruation.
ANAEMIA,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X ,,,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X 
ANEMIA,,,,The homeopathic doctor will often jointly associate allopathy and homeopathy : Allopathy will provide the body what it lacks of : iron  B12 vitamin  and homeopathy will provide the necessary catalysts for fixing allopathy. In a case of little severeness  you can take three granules three times per day  if anemia is accompanied by tiredness : China 5CH hot flashes : Ferrum Metallicum 6CH. loss of strength : Natrum Muriaticum 7CH.
ANGINA,,,,We can treat a severe angina by homeopathy  if symptoms quickly dissapear (less than 24 hours)  if not contact the doctor for resorting to an antibiotic than rather take a risk of superinfection.Sore throats  according to symptoms : Take 5 granules  2 to 4 times per day.Belladona 4CH  In case of a quick occurence  in case of an acute red throat  in case of throat dryness  in case of a worsening when drinking cold. Mercurius solubilis 4CH  in case of a less brutal occurence  in case of a less red throat and in case of no drought with no white dots.Apis 4CH  in case of edema without thirst Lachesis 5CH  in case of an untouchable neck  with the left amygdala being the most affected. Lycopodium 5CH  in case the right amygdala is the most affected. Phytolacca 4CH  in case of a dark red and dry throat. Cantharis 4CH  in case of a burning throat and severe thirst. Mercurius solubilis  in case of a throat with white dots.Kali muriaticum 5CH  scrapings report a gray secretion.  Kali bichr. 4CH  yellow ulcerations and secretions  improved by drinking warm. Hepar sulfuris calcareum 9CH  in case of a threat of phlegmon. 
ANGINA PECTORIS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER ,,,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X CALCAREA PHOSPHORICA 3X NATRUM MURIATICUM 3X SILICEA 12X MIX IN WATER 
ANGRY CHILD,,,,"In case your child is often angry and agitated, give him CHAMOMILLA 9CH , in an amount of 5 granules every morning during one week.Another solution that also functions very well, is CINA 9CH, in an amount of 3 granules, 3 times per day."
ANNOYANCE,,,,The following remedies are recommended in case of emotional disorders  such as annoyance  emotion  fear  stress  bereavement  etcAlternate the following granules 3 times per day  until disappearance of symptoms3 granules of IGNATIA AMARA 9 CH3 granules of STAPHYSAGRIA  9 CH3 granules of ACONITUM NAPELLUS 9 CH
ANOREXIA,,,,Pulsatilla 15CH 1 dose per week. orAt wake-up : Ignatia 9CH 5 granules. At bedtime : Lycopodium 7CH  5 granules. On Sunday evening  Sepia 15 CH : 1 dose.
ANXIETY,,,,One dose of Ignatia taken six times every fifteen minutes  allows to reduce fear and anxiety according to doctor Panos  however take care not to take more than four doses  as in case of repetition Ignatia may trigger anxiety. Gelsemium is another excellent drug for reducing stage fright that appears before a public presentation or an important business conference. If you suffer from anxiety  accompanied by diarrhea  Gelsenium will fit you  just comply with the doses  of more than four a day.
ANXIETY ASSOCIATED WITH HYPOCHONDRIA,,,,Hypochondria is characterized by an excessive apprehension concerning health.Thinking that a severe illness will reach you and will certainly cause death  is called the hypochondriac syndrome. For treating this psychological harm  the homeopaths generally prescribe Aconitum or Calcarea carb. These two homeopathic treatments are used to calm and relieve anxiety especially when hypochondria occurs brutally and becomes an obsession. In case the anxiety crisis occur at night  the adequate treatment will always be based on Aconitum even if the patient has a delirious sleep.
ANXIETY IN CHILDREN,,,,"Children may also be subject to a state of anxiety which materializes, most of the times, into an unhealthy shyness and susceptibility. For patients of this age, the homeopath recommends Ambrea grisea which brings a little more confidance to the child, calming his nervousness. With this homeopathic medicine, the child will be calmer, it will be easier for him to break his isolation and reach out to others. Concerning teenagers, they can take Gelsemium to better control their feelings. This treatment can also reduce some unpleasant physical manifestations of anxiety such as congestion and facial redness due to shyness."
ANXIETY RESULTING FROM A TRAUMA,,,,Anxiety can also be a result of a difficult period experienced by the patient  such as a divorce  widowhood or the death of a loved one. In such a case  the homeopath prescribes the treatment based on Ignatia for reducing psychological trauma and treating at the same time anxiety.
APOPLEXY,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MAGNESIA PHOSPHORICA 3X MIX AND TAKE IMMEDIATELY TO STOP TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X ONE DOSE DIALY,,"CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MAGNESIA PHOSPHORICA 3X MIX AND TAKE IMMEDIATELY TO STOP TRY REMEDY 2 ,CALCAREA PHOSPHORICA 3X OR 12X ONE DOSE DIALY,"
APPENDICITIS,CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X  KALI PHOSPHORICA 3X  KALI MURIATICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X  MAGNESIA PHOSPHORICA 3X  MIX IN VERY HOTWATER MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2," CALCARIA SULPHURICUM          3X ,CALCAREA PHOSPHORICA 3X OR 12X, KALI PHOSPHORICA 3X     ,    KALI  SULPHURICUM, 6X NATRUM MURIATICUM 3X  MIX IN VERY HOTWATER MANY TIMES A DAY .",,"CALCAREA FLOURIDE 3X FERRUM PHOSPHORICUM 12X  KALI PHOSPHORICA 3X  KALI MURIATICUM 3X KALI  SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X  MAGNESIA PHOSPHORICA 3X  MIX IN VERY HOTWATER MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 2, CALCARIA SULPHURICUM          3X ,CALCAREA PHOSPHORICA 3X OR 12X, KALI PHOSPHORICA 3X     ,    KALI  SULPHURICUM, 6X NATRUM MURIATICUM 3X  MIX IN VERY HOTWATER MANY TIMES A DAY .,"
APPETITE TO DECREASE,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE .,,,CALCAREA PHOSPHORICA 3X OR 12X CALCAREA SULPHURICUM 3X KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X SILICEA 12X MIX AND TAKE .
APPETITE TO INCREASE,BRYONIA 6 ONE TABLET AT A GAP OF HOURS FOR ONE OR TWO DAYS IF REMEDY FAILS TRY REMEDY 2,NUX VOMICA 3 ONE TABLET FOR TWO DAYS AT A GAP OF 6 HOURS IF REMEDY FAILS TRY REMEDY 3,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 3-4TIMES A DAY ,"BRYONIA 6 ONE TABLET AT A GAP OF HOURS FOR ONE OR TWO DAYS IF REMEDY FAILS TRY REMEDY 2,NUX VOMICA 3 ONE TABLET FOR TWO DAYS AT A GAP OF 6 HOURS IF REMEDY FAILS TRY REMEDY 3,CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE 3-4TIMES A DAY "
APTHOUS-APTHAE  MOUTH,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X CALCAREA SULPHURICUM 3X MIX AND TAKE ,,"CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM PHOSPHORICUM 3X KALI SULPHURICUM 3X CALCAREA SULPHURICUM 3X MIX AND TAKE ,"
ARTERITIS,,,,Arteritis is an inflammation of the artery walls  generally following an infection. Arteritis treatment will take into account the illness diagnostic  and the various developmental stages(pain  pulseless  claudication).Remedies of local action : 1) Against spasms : Cuprum : remedy of spasm (calf cramps at night). Secale cornutum : violent cramps during hot days  burning pains improved by cold. Cactus : feeling a constriction in the calf. Arnica : pains alike breaks  especially at night after prolonged walking.  Rhus tox : ankylosis and need to move. Arsenicum album : burns in the legs improved by heatAurum : heaviness of legs. Cuprum arsenicosum : remedy of intermittent claudication with tight cramps. 2) Neuro-psychological component : Ignatia et Argentum nitricum : sensation of weakness in the legs.General remedies : Lycopodium : a warm leg  the other one cold ; presents cholesterole and gout. Nux vomica : stress  anger  too much eating  too much alcohol. Sulfur : feet are burning at night. Too rich food. Calcarea carbonica : sensation of cold and moist legs. Calcarea fluorica : tight and stabbing pains improved by wet cold. Tabacum : sensation of freezing cold in the legs.
ARTHRITIS,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X CALCAREA SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE AT THE GAP OF 4 HOURS 3 TIMES A DAY IF REMEDY FAILS TRY REMEDY 2,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 4 HOURS 3 TIMES A DAY .,,"FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X CALCAREA SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X SILICEA 12X MIX AND TAKE AT THE GAP OF 4 HOURS 3 TIMES A DAY IF REMEDY FAILS TRY REMEDY 2,CALCAREA FLOURIDE 3X CALCAREA PHOSPHORICA 3X OR 12X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE AT THE GAP OF 4 HOURS 3 TIMES A DAY .,"
ARTHRITIS,,,,Arthritis is an acute or chronic inflammation of the joints  whose origin is rheumatic or infectious. Generally  it is a benign disease  but it may be very disabling. In most cases  this may be caused by the abnormal friction of a tendon\u2018s fibers  abnormally solicited  on a bone or a joint Rhus Toxicodendron will help you relieve your joints and also the stiff neck and the small of your back  inflaming the pain during cold days and alleviating it during warm and dry days  or after exercise. I suggest you to take one dose of 30 CH once a day  or one dose of 12 CH twice a day. A similar dose of Bryonia will relieve you if you have stiff and painful joints which tend to become hot and swollen  that hurt when you move. Moreover  one dose of Cimifuga 30 CH is a good medicine if you feel restless and agitated and your muscles seem to you more painful  especially in the morning or during cold days.
ASCITIES DROPSY,CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE DAILY AT THE GAP OF 4 HOURSIF REMEDY FAILS TRY REMEDY 2,MAGNESIA PHOSPHORICA 3X CALCAREA SULPHURICUM 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,,"CALCAREA FLOURIDE3X CALCAREA PHOSPHORICA 3X OR 12X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X  NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE DAILY AT THE GAP OF 4 HOURSIF REMEDY FAILS TRY REMEDY 2,MAGNESIA PHOSPHORICA 3X CALCAREA SULPHURICUM 3X NATRUM PHOSPHORICUM 3X MIX AND TAKE ,"
ASTHAMA,CALCAREA FLOURIDE3XOR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM  3X SILICEA 12X MIX AND TAKE 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2,CALCAREA SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE ,,"CALCAREA FLOURIDE3XOR 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM  3X SILICEA 12X MIX AND TAKE 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2,CALCAREA SULPHURICUM 3X FERRUM PHOSPHORICUM 12X MIX AND TAKE ,"
ASTHENIA,,,,Asthenia is a weakening of the body  physical tiredness; it can affect the mental state  the libido or the intellect.For a subject in convalescence after suffering from infectious diseases  he has to take China rubra 9 CH  5 granules 3 times per day during 10 days In case of overwork  Anacardium orientale 9 CH has to be taken in 5 granules two times per day  in the morning and in the evening  during a month  to be repeated if necessary. This medicine is particularly recommended to students.In case of headaches and memory problems  Kalium phosporicum 15 CH has to be taken in 5 granules per day during a month  to be repeated if necessary.If in addition to headaches and memory problems  the patient is subject to frequent diarrheas and hair loss  Phosphoricum acidum 30 CH is recommended in 1 dose per week  during 3 months.In case the person notices an upsurge of his acne and sleeping problems  it is recommended to take Selenium metallicum 9 CH in 5 granules during 2 to 3 months.Calcarea phosphorica 15 CH is to be taken in one dose  monthly  for preventing attention and memory problems. In case of mental and nervous tiredness  or when the person presents signs of exhaustion and depression  he has to take Zincum metal 7 to 9 CH two times a day.Anacardium orientale 9 CH is also recommended two times per day  for someone presenting intellectual tiredness and who is agressive towards his entourage. For stress states associated with fright  in particular the preparation of an important event such as an exam  Gelsemium 9 CH has to be taken the night before and the morning of the event. For periods of intense work  the patient has to take two times per day Phosphoricum acidum 7 CH associated with Kalium phosphoricum 7 CH and with Gelsemium 9 CH.
BABYS VOMITING,,,,"10 granules to dissolve in a small quantity of water. AETHUSA CYNAPIUM 5CH : vomiting in large acid clots of most of the milk absorbed, followed by weakness and somnolence. Aversion to formula milk. ANTIMONIUM CRUDUM 5CH : greedy, grumpy baby with belching which does not relieve ; white tongue like milk. frequently associated skin problems. ARGENTUM NITRICUM 5CH : nervous, impatient baby, drinking fast ; tendancy to greenish diarrheas. CUPRUM METALLICUM 5CH : spasms. hypersensitivity to annoyance; aggravation to the slightest touch ; noisy belching ; sudden vomiting with discharges through the nose ; he is suffocating while drinking, but gets better by drinking fresh drinks. IGNATIA 5CH : vomiting with no effort or pain  IPECA 5CH : nausea even after vomiting ; clean tongue. NUX VOMICA 5CH : big, impatient, irritable eater, worsened after meal, with burping and regurgitations that relieve ; tendancy to constipation; sleepy but little sleeper because improved by a short sleep. SILICEA 5CH : vomiting the milk of his mother ; fearful ; moist and cold feet; jumps at the slightest noise. VALERIANA 5CH : regurgitations accompanied by violent crying ; nervous, even hysterical mother."
BACK PAINS,,,,For decreasing back pains  try one of these medicines 6 CH or 12 CH three or four times per day  until you notice an improvement  says doctor Meletis. In case you feel bruised and sore  and you can not stand to be touched  and if pain decreases when sitting in a lying position  doctor Meletis recommends to take Arnica. Aesculus can also relieve you if your lower back is very bruised  which causes a throbbing pain that worsens after walking or when bending. In case of a pain in the neck which worsenes when you move  during cold days or because of the large temperature differences  but which improves when resting  try Bryonia. Rhus toxicodendron can relieve the back pains that persist  no matter what position you adopt  particularly if you feel a stiffness in the small of the back when walking.
